Compound No.,Mol. Wgt.,Name,IUPAC,SMILES,Lookup wgt.,Method
249,322.5,HEXADECANE 1-HYDROXY 2-SULFONIC ACID,hexadecyl hydrogen sulfate,CCCCCCCCCCCCCCCCOS(=O)(=O)O,322.5,LLM initial name and weight
250,350.5,OCTADECANE 1-HYDROXY 2-SULFONIC ACID,octadecyl hydrogen sulfate,CCCCCCCCCCCCCCCCCCOS(=O)(=O)O,350.6,LLM initial name and weight
251,173.3,OCTYL DIMETHYL AMINE OXIDE,2-(dibutylamino)ethanol,CCCCN(CCCC)CCO,173.3,LLM initial name and weight
252,201.3,DECYL DIMETHYL AMINE OXIDE,"N,N-dimethyldecan-1-amine oxide",CCCCCCCCCC[N+](C)(C)[O-],201.35,LLM initial name and weight
253,257.5,TETRADECYL DIMETHYL AMINE OXIDE,"N,N-dimethyltetradecan-1-amine oxide",CCCCCCCCCCCCCC[N+](C)(C)[O-],257.45,LLM initial name and weight
254,187.3,NONYL DIMETHYL AMINE OXIDE,3-(2-ethylhexoxy)propan-1-amine,CCCCC(CC)COCCCN,187.32,LLM initial name and weight
255,354.6,"POTASSIUM 9,10 DIHYDROXY STEARATE","potassium;9,10-dihydroxyoctadecanoate",CCCCCCCCC(C(CCCCCCCC(=O)[O-])O)O.[K+],354.6,LLM initial name and weight
256,322.6,POTASSIUM STEARATE,potassium;octadecanoate,CCCCCCCCCCCCCCCCCC(=O)[O-].[K+],322.6,LLM initial name and weight
257,332.3,SODIUM DI-N-BUTYL SULFOSUCCINATE,"sodium;1,4-bis(2-methylpropoxy)-1,4-dioxobutane-2-sulfonate",CC(C)COC(=O)CC(C(=O)OCC(C)C)S(=O)(=O)[O-].[Na+],332.35,Found by mass lookup
258,360.3,SODIUM DI-N-AMYL SULFOSUCCINATE,N/A,N/A,0,Unknown
259,388.4,SODIUM DI-N-HEXYL SULFOSUCCINATE,sodium;2-[2-(11-methyldodecanoyloxy)ethoxy]ethanesulfonate,CC(C)CCCCCCCCCC(=O)OCCOCCS(=O)(=O)[O-].[Na+],388.5,Found by mass lookup
260,444.5,SODIUM DI-N-OCTYL SULFOSUCCINATE,"sodium;1,4-bis(2-ethylhexoxy)-1,4-dioxobutane-2-sulfonate",CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],444.6,LLM initial name and weight
261,332.3,SODIUM DI-ISOBUTYL SULFOSUCCINATE,sodium;(1-decoxy-1-oxopropan-2-yl) sulfate,CCCCCCCCCCOC(=O)C(C)OS(=O)(=O)[O-].[Na+],332.39,Found by mass lookup
262,444.5,SODIUM DI-2-ETHYL-HEXYL SULFOSUCCINATE,"sodium;1,4-bis(2-ethylhexoxy)-1,4-dioxobutane-2-sulfonate",CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],444.6,LLM initial name and weight
263,304.4,SODIUM OLEATE /CIS-9-OCTADECENOATE/,sodium;(Z)-octadec-9-enoate,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],304.4,LLM initial name and weight
264,304.4,SODIUM ELAIDATE /TRANS-9-OCTADECENOATE/,sodium;(Z)-octadec-9-enoate,CCCCCCCCC=CCCCCCCCC(=O)[O-].[Na+],304.4,LLM initial name and weight
265,320,HEXADECYL TRIMETHYL AMMONIUM CHLORIDE,hexadecyl(trimethyl)azanium;chloride,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],320,LLM initial name and weight
266,350,HEXADECYL DIMETHYL 2-HYDROXYETHYL AMMONIUM CHLORIDE,hexadecyl-(2-hydroxyethyl)-dimethylazanium;chloride,CCCCCCCCCCCCCCCC[N+](C)(C)CCO.[Cl-],350,LLM initial name and weight
267,380.1,HEXADECYL DI-/2-HYDROXYETHYL/METHYL AMMONIUM CHLORIDE,"2-amino-2-octadecylpropane-1,3-diol;hydrochloride",CCCCCCCCCCCCCCCCCCC(CO)(CO)N.Cl,380,LLM initial name and weight
268,410.1,HEXADECYL TRI-/2-HYDROXYETHYL/ AMMONIUM CHLORIDE,hexadecyl-tris(2-hydroxyethyl)azanium;chloride,CCCCCCCCCCCCCCCC[N+](CCO)(CCO)CCO.[Cl-],410.1,LLM initial name and weight
269,380.1,"HEXADECYLDIMETHYL2,3-DIHYDROXYPROPYLAMMONIUM CHLORIDE","2-amino-2-octadecylpropane-1,3-diol;hydrochloride",CCCCCCCCCCCCCCCCCCC(CO)(CO)N.Cl,380,LLM initial name and weight
270,348.1,OCTADECYL TRIMETHYLAMMONIUM CHLORIDE,trimethyl(octadecyl)azanium;chloride,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],348,LLM initial name and weight
271,306.3,SODIUM TRI-IS0-PROPYL BENZENE SULFONATE,sodium;2-nonylbenzenesulfonate,CCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[Na+],306.4,LLM initial name and weight
272,284.3,TRI-ISOPROPYL BENZENE SULFONIC ACID,"2,4,6-tri(propan-2-yl)benzenesulfonic acid",CC(C)C1=CC(=C(C(=C1)C(C)C)S(=O)(=O)O)C(C)C,284.4,LLM initial name and weight
273,222.3,SODIUM DODECANOATE,sodium;dodecanoate,CCCCCCCCCCCC(=O)[O-].[Na+],222.3,LLM initial name and weight
274,340,HEXADECYL PYRIDINIUM CHLORIDE,1-hexadecylpyridin-1-ium;chloride,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],340,LLM initial name and weight
275,396.1,HEXADECYL DIMETHYLBENZYLAMMONIUM CHLORIDE,benzyl-hexadecyl-dimethylazanium;chloride,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],396.1,LLM initial name and weight
276,596.8,NONAETHYLENE GLYCOL MONODODECANOATE NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethyl dodecanoate,CCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,596.8,LLM initial name and weight
277,349.6,BENZYL TRIMETHYL AMMONIUM DODECANOATE,"(8Z,11Z,14Z)-N-(2-hydroxyethyl)icosa-8,11,14-trienamide",CCCCCC=CCC=CCC=CCCCCCCC(=O)NCCO,349.5,LLM initial name and weight
278,283.9,DODECYL PYRIDINIUM CHLORIDE,1-dodecylpyridin-1-ium;chloride,CCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],283.9,LLM initial name and weight
279,340,DODECYL BENZYL DIMETHYLAMMONIUM CHLORIDE,1-hexadecylpyridin-1-ium;chloride,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],340,LLM initial name and weight
280,465.8,DECYL TRIMETHYL AMMONIUM DODECYL SULFATE,hydrogen sulfate;methyl(trioctyl)azanium,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.OS(=O)(=O)[O-],465.8,LLM initial name and weight
281,493.8,DODECYL TRIMETHYLAMMONIUM DODECYL SULFATE,dodecyl sulfate;dodecyl(trimethyl)azanium,CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCCOS(=O)(=O)[O-],493.8,LLM initial name and weight
282,506.8,HEXADECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-(2-hexadecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,506.8,LLM initial name and weight
283,399.7,HEXANOLAMINE-CH3CH/OH/CH2C/CH3/2NH2-ELAIDATE,2-(diethylamino)ethanol;(Z)-octadec-9-enoic acid,CCCCCCCCC=CCCCCCCCC(=O)O.CCN(CC)CCO,399.7,LLM retried name and weight
284,261.4,HEXANOLAMINE-CH3CH/OH/CH2C/CH3/2NH2-OCTANOATE,2-aminoethanol;dodecanoic acid,CCCCCCCCCCCC(=O)O.C(CO)N,261.4,LLM initial name and weight
285,399.7,HEXANOLAMINE-CH3CH/OH/CH2C/CH3/2NH2-OLEATE,2-(diethylamino)ethanol;(Z)-octadec-9-enoic acid,CCCCCCCCC=CCCCCCCCC(=O)O.CCN(CC)CCO,399.7,LLM retried name and weight
286,439.6,AMMONIUM DI-2-ETHYL-HEXYL SULFOSUCCINATE,"azanium;1,4-bis(2-ethylhexoxy)-1,4-dioxobutane-2-sulfonate",CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[NH4+],439.6,LLM initial name and weight
287,365.6,OCTYL TRIMETHYLAMMONIUM OCTANE SULFONATE,dimethyl(tetradecyl)azanium;propane-1-sulfonate,CCCCCCCCCCCCCC[NH+](C)C.CCCS(=O)(=O)[O-],365.6,LLM initial name and weight
288,421.7,DECYL TRIMETHYLAMMONIUM DECANESULFONATE,dimethyl(octadecyl)azanium;propane-1-sulfonate,CCCCCCCCCCCCCCCCCC[NH+](C)C.CCCS(=O)(=O)[O-],421.7,LLM initial name and weight
289,478.7,TETRADECYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-(2-tetradecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,478.7,LLM initial name and weight
290,328.3,DODECYL PYRIDINIUM BROMIDE,1-dodecylpyridin-1-ium;bromide,CCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],328.3,LLM initial name and weight
291,420.6,TETRADECYL TRIPROPYLAMMONIUM BROMIDE,icosyl(trimethyl)azanium;bromide,CCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],420.6,LLM initial name and weight
292,448,HEXADECYL TRIPROPYLAMMONIUM BROMIDE,N/A,N/A,0,Unknown
293,310.3,DODECYL DIMETHYL AMINE OXIDE HYDROBROMIDE,decyl-(2-hydroxyethyl)-dimethylazanium;bromide,CCCCCCCCCC[N+](C)(C)CCO.[Br-],310.31,LLM initial name and weight
294,366.5,HEXYL/OXYETHYLENE/6 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-(2-hydroxypropoxy)propoxy]propoxy]propoxy]propoxy]propan-1-ol,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O,366.5,LLM initial name and weight
295,246.2,SODIUM NONYL 1-SULFATE,sodium;nonyl sulfate,CCCCCCCCCOS(=O)(=O)[O-].[Na+],246.3,LLM initial name and weight
296,168.2,POTASSIUM HEPTANOATE,potassium;heptanoate,CCCCCCC(=O)[O-].[K+],168.27,LLM initial name and weight
297,224.4,POTASSIUM UNDECANOATE,potassium;undecanoate,CCCCCCCCCCC(=O)[O-].[K+],224.38,LLM initial name and weight
298,250.3,SODIUM TETRADECANOATE,sodium;tetradecanoate,CCCCCCCCCCCCCC(=O)[O-].[Na+],250.35,LLM initial name and weight
299,194.2,SODIUM DECANOATE,sodium;decanoate,CCCCCCCCCC(=O)[O-].[Na+],194.25,LLM initial name and weight
300,278.4,SODIUM HEXADECANOATE,sodium;hexadecanoate,CCCCCCCCCCCCCCCC(=O)[O-].[Na+],278.41,LLM initial name and weight
301,348.4,SODIUM 3-N-DODECYL BENZENE SULFONATE,sodium;4-dodecan-2-ylbenzenesulfonate,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],348.5,LLM initial name and weight
302,348.4,SODIUM 4-N-DODECYL BENZENE SULFONATE,sodium;4-dodecan-2-ylbenzenesulfonate,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],348.5,LLM initial name and weight
303,245.4,DI-ISOPROPYLAMMONIUM CAPRYLATE,acetic acid;dodecan-1-amine,CCCCCCCCCCCCN.CC(=O)O,245.4,LLM initial name and weight
304,352.6,CATOL 607 (N-/LAURYL-COLAMINO-FORMYL-METHYL/ -PYRIDINIUM CHLORIDE),N/A,N/A,0,Unknown
305,320.6,POTASSIUM OLEATE/ CIS-9-OCTADECENOATE/,potassium;(Z)-octadec-9-enoate,CCCCCCCCC=CCCCCCCCC(=O)[O-].[K+],320.6,LLM initial name and weight
306,496.9,DECYL TRIMETHYLAMMONIUM SULFATE,tributyl(methyl)azanium;sulfate,CCCC[N+](C)(CCCC)CCCC.CCCC[N+](C)(CCCC)CCCC.[O-]S(=O)(=O)[O-],496.8,LLM initial name and weight
307,553,DODECYL TRIMETHYLAMMONIUM SULFATE,dodecyl(trimethyl)azanium;sulfate,CCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCC[N+](C)(C)C.[O-]S(=O)(=O)[O-],552.9,LLM initial name and weight
308,609.1,TETRADECYL TRIMETHYLAMMONIUM SULFATE,trimethyl(tetradecyl)azanium;sulfate,CCCCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCCCC[N+](C)(C)C.[O-]S(=O)(=O)[O-],609,LLM initial name and weight
309,665.2,HEXADECYL TRIMETHYLAMMONIUM SULFATE,hexadecyl(trimethyl)azanium;sulfate,CCCCCCCCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCCCCCCC[N+](C)(C)C.[O-]S(=O)(=O)[O-],665.2,LLM initial name and weight
310,627,DODECYL/OXYETHYLENE/10 ALCOHOL NATURAL DISTRIBUTION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,626.9,LLM initial name and weight
311,274.3,SODIUM UNDECYL 1-SULFATE,sodium;undecyl sulfate,CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],274.35,LLM initial name and weight
312,420.7,"TRIDECYL/OXYETHYLENE/5 ALCOHOL BRANCHED CHAIN, REDUCED 0E DISTRIBUTION","decanoic acid;2,2-dimethylpropane-1,3-diol;octanoic acid",CCCCCCCCCC(=O)O.CCCCCCCC(=O)O.CC(C)(CO)CO,420.6,LLM initial name and weight
313,619,"TRIDECYL/OXYETHYLENE/9.5 ALCOHOL BRANCHED CHAIN, REDUCED 0E DISTRIBUTION",N/A,N/A,0,Unknown
314,817.2,"TRIDECYL/OXYETHYLENE/14 ALCOHOL BRANCHED CHAIN, REDUCED 0E DISTRIBUTION",2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-tridecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,817.1,LLM initial name and weight
315,1081.6,TRIDECYL/OXYETHYLENE/20 ALCOHOL BRANCHED CHAIN REDUCED 0E DISTRIBUTION,N/A,N/A,0,Unknown
316,1522.2,"TRIDECYL/OXYETHYLENE/30 ALCOHOL BRANCHED CHAIN, REDUCED 0E DISTRIBUTION",N/A,N/A,0,Unknown
317,647,T-OCTYL BENZENE/OXYETHYLENE/10 ALCOHOL REDUCED POLYDISPERSITY OF HEAD GROUPS,N/A,N/A,0,Unknown
318,1087.6,T-OCTYL BENZENE/OXYETHYLENE/20 ALCOHOL REDUCED POLYDISPERSITY OF HEAD GROUPS,N/A,N/A,0,Unknown
319,1528.2,T-OCTYL BENZENE/OXYETHYLENE/30 ALCOHOL REDUCED POLYDISPERSITY OF HEAD GROUPS,N/A,N/A,0,Unknown
320,661,"NONYL BENZENE/OXYETHYLENE/10 ALCOHOL BRANCHED CHAIN, REDUCED 0E DISTRIBUTION",2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,660.9,LLM initial name and weight
321,881.3,"NONYL BENZENE/OXYETHYLENE/15 ALCOHOL BRANCHED CHAIN, REDUCED 0E DISTRIBUTION","2,2-bis(hydroxymethyl)propane-1,3-diol;2-hydroxypropane-1,2,3-tricarboxylic acid;octadecanoic acid;(Z)-octadec-9-en-1-ol",CCCCCCCCCCCCCCCCCC(=O)O.CCCCCCCCC=CCCCCCCCCO.C(C(=O)O)C(CC(=O)O)(C(=O)O)O.C(C(CO)(CO)CO)O,881.2,Found by mass lookup
326,803.2,DODECYL/OXYETHYLENE/14 ALCOHOL REDUCED POLYDISPERSITY OF HEAD GROUPS,1-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-hexoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]hexane,CCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCCCC,803.1,LLM initial name and weight
327,1199.8,DODECYL/OXYETHYLENE/23 ALCOHOL REDUCED POLYDISPERSITY OF HEAD GROUPS,N/A,N/A,0,Unknown
328,887.4,OCTADECYL/OXYETHYLENE/14 ALCOHOL REDUCED POLYDISPERSITY OF HEAD GROUPS,N/A,N/A,0,Unknown
329,4676.6,OCTADECYL/OXYETHYLENE/100 ALCOHOL REDUCED POLYDISPERSITY OF HEAD GROUPS,N/A,N/A,0,Unknown
330,550.9,HEXADECYL/OXYETHYLENE/7 ALCOHOL HOMOGENEOUS HEAD GROUP,"2,2-bis(hydroxymethyl)propane-1,3-diol;docosanoic acid;ethoxyethane",CCCCCCCCCCCCCCCCCCCCCC(=O)O.CCOCC.C(C(CO)(CO)CO)O,550.9,Found by mass lookup
331,639,HEXADECYL/OXYETHYLENE/9 ALCOHOL HOMOGENEOUS HEAD GROUP,"1-ethoxy-2,2-bis(ethoxymethyl)pentane;1-ethoxy-2-[[3-ethoxy-2,2-bis(ethoxymethyl)propoxy]methyl]-2-(ethoxymethyl)pentane",CCCC(COCC)(COCC)COCC.CCCC(COCC)(COCC)COCC(COCC)(COCC)COCC,639,Found by mass lookup
332,771.2,HEXADECYL/OXYETHYLENE/12 ALCOHOL HOMOGENEOUS HEAD GROUP,"acetylene;ethane;formaldehyde;hydrogen peroxide;methanol;(3R,5R,11S)-3,5,11,13,13-pentahydroxy-15-[(2S)-2-[(2R,3S)-3-methoxy-2-methylbutyl]cyclotridecyl]pentadecanal",CC.CC(CC1CCCCCCCCCCCC1CCC(CC(CCCCCC(CC(CC=O)O)O)O)(O)O)C(C)OC.CO.CO.C=O.C#C.OO,771.1,Found by mass lookup
333,903.4,HEXADECYL/OXYETHYLENE/15 ALCOHOL HOMOGENEOUS HEAD GROUP,N/A,N/A,0,Unknown
334,1167.8,HEXADECYL/OXYETHYLENE/21 ALCOHOL HOMOGENEOUS HEAD GROUP,N/A,N/A,0,Unknown
335,580.9,"OCTYL BENZENE/OXYETHYLENE/8.5 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",2-[2-[2-[2-[2-[2-[2-(2-pentadecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,580.8,Found by mass lookup
336,639,"NONYL BENZENE/OXYETHYLENE/9.5 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",2-[2-[2-[2-[2-[2-[2-[2-(2-hexadecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,638.9,Found by mass lookup
337,683,"NONYL BENZENE/OXYETHYLENE/10.5 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION","[(6E,18E)-10,15-dihydroxy-2,6,10,15,19,23-hexamethyl-14-[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxytetracosa-2,6,18,22-tetraen-11-yl] acetate",CC(=CCCC(=CCCC(C)(C(CCC(C(C)(CCC=C(C)CCC=C(C)C)O)OC(=O)C)OC1C(C(C(C(O1)CO)O)O)O)O)C)C,682.9,Found by mass lookup
338,4626.4,"NONYL BENZENE/OXYETHYLENE/100 ALCOHOL BRANCHED CHAIN, NATURAL 0E DISTRIBUTION",N/A,N/A,0,Unknown
339,354.7,MAGNESIUM HEXANE SULFONATE,magnesium;hexane-1-sulfonate,CCCCCCS(=O)(=O)[O-].CCCCCCS(=O)(=O)[O-].[Mg+2],354.8,Found by mass lookup
340,410.8,MAGNESIUM OCTANE SULFONATE,magnesium;octane-1-sulfonate,CCCCCCCCS(=O)(=O)[O-].CCCCCCCCS(=O)(=O)[O-].[Mg+2],410.9,Found by mass lookup
341,466.9,MAGNESIUM DECANE SULFONATE,magnesium;decane-1-sulfonate,CCCCCCCCCCS(=O)(=O)[O-].CCCCCCCCCCS(=O)(=O)[O-].[Mg+2],467,Found by mass lookup
342,523.1,MAGNESIUM DODECANE SULFONATE,magnesium;dodecane-1-sulfonate,CCCCCCCCCCCCS(=O)(=O)[O-].CCCCCCCCCCCCS(=O)(=O)[O-].[Mg+2],523.1,Found by mass lookup
343,174.2,SODIUM PENTANE SULFONATE,sodium;pentane-1-sulfonate,CCCCCS(=O)(=O)[O-].[Na+],174.2,LLM initial name and weight
344,188.2,SODIUM HEXANE SULFONATE,sodium;hexane-1-sulfonate,CCCCCCS(=O)(=O)[O-].[Na+],188.22,LLM initial name and weight
345,418.3,DIDODECYL DIMETHYLAMMONIUM CHLORIDE,didodecyl(dimethyl)azanium;chloride,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Cl-],418.2,LLM initial name and weight
346,437.8,DECYL TRIMETHYLAMMONIUM DECYL SULFATE,decyl sulfate;decyl(trimethyl)azanium,CCCCCCCCCC[N+](C)(C)C.CCCCCCCCCCOS(=O)(=O)[O-],437.7,LLM initial name and weight
347,381.6,OCTYL TRIMETHYLAMMOMIUM OCTYL SULFATE,hexadecyl(trimethyl)azanium;hydrogen sulfate,CCCCCCCCCCCCCCCC[N+](C)(C)C.OS(=O)(=O)[O-],381.6,LLM initial name and weight
348,443.2,NN-DIMETHYL 1-1-DIHYDROPENTADECAFLUORO OCTYL AMINE N-OXIDE /C7F15CH2N/CH3/20/,"1-amino-4,4,5,5,6,6,7,7,8,9,9,9-dodecafluoro-8-(trifluoromethyl)nonan-2-ol",C(C(CN)O)C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F,443.15,LLM initial name and weight
349,356.5,SODIUM OCTADECANE 1-SULFONATE,sodium;octadecane-1-sulfonate,CCCCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],356.5,LLM initial name and weight
350,196.4,POTASSIUM NONANOATE,potassium;nonanoate,CCCCCCCCC(=O)[O-].[K+],196.33,LLM initial name and weight
351,252.5,POTASSIUM TRIDECANOATE,potassium;11-methyldodecanoate,CC(C)CCCCCCCCCC(=O)[O-].[K+],252.43,LLM initial name and weight
352,388.4,SODIUM DI-1-METHYLISOAMYL SULFOSUCCINATE,"sodium;1,4-dihexoxy-1,4-dioxobutane-2-sulfonate",CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],388.5,LLM retried name and weight
353,393.7,OCTYL TRIMETHYLAMMONIUM DECANE SULFONATE,hexadecyl(dimethyl)azanium;propane-1-sulfonate,CCCCCCCCCCCCCCCC[NH+](C)C.CCCS(=O)(=O)[O-],393.7,LLM initial name and weight
354,255.9,HEXYL BENZYL DIMETHYLAMMONIUM CHLORIDE,1-decylpyridin-1-ium;chloride,CCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],255.82,LLM initial name and weight
355,363.1,AMMONIUM DODECAFLUOROHEPTANOATE H/CF2/6CO0NH4,"azane;2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoroheptanoic acid",C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F.N,363.1,Found by mass lookup
356,312,DECYL BENZYL DIMETHYLAMMONIUM CHLORIDE,benzyl-decyl-dimethylazanium;chloride,CCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],311.9,LLM initial name and weight
357,368.1,TETRADECYL BENZYL DIMETHYLAMMONIUM CHLORIDE,benzyl-dimethyl-tetradecylazanium;chloride,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],368,LLM initial name and weight
358,424.2,OCTADECYL BENZYL DIMETHYLAMMONIUM CHLORIDE,benzyl-dimethyl-octadecylazanium;chloride,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],424.1,LLM initial name and weight
359,328.9,OCTYL 4-NITROBENZYL DIMETHYLAMMONIUM CHLORIDE,"(2S)-N-(2,6-dimethylphenyl)-1-propylpiperidine-2-carboxamide;hydrate;hydrochloride",CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.O.Cl,328.9,LLM initial name and weight
360,357,DECYL 4-NITROBENZYL DIMETHYLAMMONIUM CHLORIDE,3-methylbutyl 2-[2-(diethylamino)ethylamino]-2-phenylacetate;hydrochloride,CCN(CC)CCNC(C1=CC=CC=C1)C(=O)OCCC(C)C.Cl,356.9,LLM initial name and weight
361,385,DODECYL 4-NITROBENZYL DIMETHYL AMMONIUM CHLORIDE,[1-(4-aminobenzoyl)oxy-2-methylpropan-2-yl]-decylazanium;chloride,CCCCCCCCCC[NH2+]C(C)(C)COC(=O)C1=CC=C(C=C1)N.[Cl-],385,LLM initial name and weight
362,413.1,TETRADECYL 4-NITROBENZYL DIMETHYLAMMONIUM CHLORIDE,"1-(2,6-dimethylheptan-4-ylamino)propan-2-yl 4-(diethylamino)benzoate;hydrochloride",CCN(CC)C1=CC=C(C=C1)C(=O)OC(C)CNC(CC(C)C)CC(C)C.Cl,413,LLM initial name and weight
363,441.2,HEXADECYL 4-NITROBENZYL DIMETHYLAMMONIUM CHLORIDE,"1-(16-piperidin-1-ylhexadecyl)pyrrole-2,5-dione;hydrochloride",C1CCN(CC1)CCCCCCCCCCCCCCCCN2C(=O)C=CC2=O.Cl,441.1,LLM initial name and weight
364,469.2,OCTADECYL 4-NITROBENZYL DIMETHYLAMMONIUM CHLORIDE,2-(dimethylamino)ethyl 4-(hexadecylamino)benzoate;hydrochloride,CCCCCCCCCCCCCCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl,469.1,LLM initial name and weight
365,374.5,DODECYL 2-CHLOROBENZYL DIMETHYLAMMONIUM CHLORIDE,benzyl-(2-chloroethyl)-dodecylazanium;chloride,CCCCCCCCCCCC[NH+](CCCl)CC1=CC=CC=C1.[Cl-],374.4,LLM initial name and weight
366,408.9,DODECYL 2-4-DICHLOROBENZYL DIMETHYLAMMONIUMCHLORIDE,"(3,4-dichlorophenyl)methyl-dodecyl-dimethylazanium;chloride",CCCCCCCCCCCC[N+](C)(C)CC1=CC(=C(C=C1)Cl)Cl.[Cl-],408.9,LLM initial name and weight
367,374.5,DODECYL 4-CHLOROBENZYL DIMETHYLAMMONIUM CHLORIDE,benzyl-(2-chloroethyl)-dodecylazanium;chloride,CCCCCCCCCCCC[NH+](CCCl)CC1=CC=CC=C1.[Cl-],374.4,LLM initial name and weight
